Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
ALATA_D2,D-alanine transaminase,pydx5p_c + ala__D_c  -> pyam5p_c + pyr_c ,"2.1.2.1, 4.1.2.48",40904.485,6.8625
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),nad_c + dscl_c  -> h_c + scl_c + nadh_c ,1.3.1.76,49950,0.45
CPPPGO,Coproporphyrinogen oxidase (O2 required),2 h_c + o2_c + cpppg3_c  -> 2 h2o_c + pppg9_c + 2 co2_c ,1.3.3.3,34321.49,0.003
GTHOr_f,Glutathione oxidoreductase,h_c + nadph_c + gthox_c  -> 2 gthrd_c + nadp_c ,1.8.1.7,48771.05,733.3
DHORD5,Dihydroorotic acid (menaquinone-8),dhor__S_c + mqn8_c  -> orot_c + mql8_c ,1.3.5.2,36773.46000000001,82
GLYCTO2,Glycolate oxidase,glyclt_c + q8_c  -> glx_c + q8h2_c ,1.1.3.15,137242.88,15.7
GLYCTO3,Glycolate oxidase,glyclt_c + mqn8_c  -> glx_c + mql8_c ,1.1.3.15,137242.88,15.7
GLYCTO4,Glycolate oxidase,glyclt_c + 2dmmq8_c  -> glx_c + 2dmmql8_c ,1.1.3.15,137242.88,15.7
PFK_3,Phosphofructokinase (s7p),atp_c + s7p_c  -> h_c + adp_c + s17bp_c ,2.7.1.11,34840.99,31.0185
TRPS2,Tryptophan synthase (indole),ser__L_c + indole_c  -> trp__L_c + h2o_c ,4.2.1.20,71687.15,3.6950000000000003
G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),glyc3p_c + q8_c  -> dhap_c + q8h2_c ,1.1.5.3,102566.01,33.3
LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c  -> akg_c + leu__L_c ,2.6.1.42,38814.565,15.655
SHK3Dr_f,Shikimate dehydrogenase,h_c + 3dhsk_c + nadph_c  -> skm_c + nadp_c ,"1.1.1.25, 1.1.1.282",30319.870000000003,236.745
G5SD,Glutamate-5-semialdehyde dehydrogenase,h_c + nadph_c + glu5p_c  -> pi_c + nadp_c + glu5sa_c ,1.2.1.41,44628.810000000005,176.8525
ALATA_L2,Alanine transaminase,pydx5p_c + ala__L_c  -> pyam5p_c + pyr_c ,"2.1.2.1, 4.1.2.48",40904.485,6.8625
