,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,-35390000,176958000,-10112000,601670000,40450000,106178000,-20224000,-5056000,0,-15168000,-10112000,975780000,-15172000,672450000,-15168000,-15168000,-20224000,-10112000,15168000,40444000,-30336000,20222000,20222000,-5056000,0,20224000,0,20228000,5056000,5056000,20228000,30338000,91012000,91008000,257854000,743232000,849410000,187070000,768510000,667360000,495490000,45504000,1026320000,45504000,35396000,45504000,-15168000,530850000
2,25276000,15168000,15168000,293250000,80892000,15168000,101116000,0,0,-5056000,-10112000,35400000,20224000,960604000,65730000,-15168000,-20224000,-15168000,-10112000,20228000,1228616000,55620000,379200000,0,20222000,20228000,15160000,20228000,35388000,247740000,96062000,141572000,262916000,207300000,798840000,905000000,773572000,80900000,632000000,328640000,500550000,10112000,1031400000,-5056000,30340000,35394000,25280000,662290000
3,25280000,0,-15168000,419650000,75840000,30340000,141568000,-25280000,-10112000,20224000,-10112000,25280000,0,955560000,45506000,5056000,0,5056000,-15168000,25280000,899966000,35390000,252800000,-15168000,20220000,30340000,-20220000,10110000,25282000,434816000,85952000,121340000,278080000,212350000,854466000,793796000,697720000,70780000,591560000,404480000,480320000,5056000,1162870000,5056000,-5056000,30338000,-10112000,591590000
4,374140000,348866000,273030000,0,187072000,429764000,849412000,540992000,308410000,298300000,-40448000,869630000,25282000,1031392000,374140000,-15168000,0,5056000,10112000,389316000,30336000,25282000,202242000,5050000,20228000,40448000,15172000,30338000,35388000,156732000,121346000,252802000,232576000,176956000,798840000,677510000,500546000,116290000,500540000,384260000,389310000,15168000,1102180000,30336000,35394000,141572000,5056000,500570000
5,25280000,121346000,85950000,197180000,-20224000,80894000,65724000,111232000,490430000,490430000,-5056000,166850000,-5060000,338748000,-10112000,0,-10112000,10112000,-10112000,0,182016000,25278000,121342000,-10112000,10110000,45506000,15166000,15172000,25276000,80892000,45508000,50562000,151682000,106176000,1258992000,313470000,596610000,70780000,586500000,566270000,621890000,-10112000,980848000,0,0,10112000,-10112000,586470000
6,106172000,25280000,25280000,884798000,40444000,10112000,778620000,894914000,323580000,1218460000,50556000,591560000,227518000,728068000,0,10112000,10112000,91012000,1071916000,283140000,45500000,30336000,25280000,60670000,50558000,121348000,70784000,328638000,30338000,232580000,40452000,96066000,156732000,197186000,773566000,1076970000,91012000,50560000,520768000,814020000,697730000,343812000,1117336000,50560000,45508000,217404000,-20224000,616860000
7,5050000,91008000,55616000,743230000,35390000,626940000,-5056000,1142636000,1046604000,1112292000,25280000,520770000,-10116000,834242000,-5056000,0,-15168000,0,-5056000,278080000,798850000,35390000,40450000,15160000,25280000,40446000,50564000,50558000,30340000,591550000,25278000,10116000,60670000,65730000,379200000,748280000,232580000,131452000,500540000,404480000,601620000,1076936000,146630000,803900000,672450000,616830000,0,374200000
8,15168000,-15168000,0,273024000,70788000,920204000,1279148000,-5056000,15168000,0,15168000,884830000,-25280000,990936000,0,-10112000,-15168000,-5056000,10112000,202242000,-5056000,-5056000,5056000,-5050000,5056000,25282000,-10112000,20222000,15168000,60670000,15172000,55612000,5056000,20228000,1076900000,854480000,455040000,101116000,642110000,793790000,601660000,232578000,1309460000,490428000,394366000,763452000,45506000,439860000
9,5060000,5056000,5056000,965710000,490432000,1208392000,1162860000,15168000,25282000,5056000,5056000,894860000,-15172000,1324700000,753346000,-10116000,116286000,637054000,1208416000,950548000,-15168000,20222000,35392000,20228000,0,25276000,748290000,55620000,15168000,10112000,80896000,30336000,50562000,60668000,1142620000,950570000,1269030000,1127480000,1142620000,445000000,980890000,20224000,1066848000,15168000,5056000,5056000,25280000,530900000
10,-10112000,15168000,-20224000,166852000,788740000,1193260000,1071916000,5056000,5056000,0,5056000,808970000,-20224000,1223570000,353922000,5056000,323584000,990972000,1223528000,1051648000,-35392000,20228000,30340000,40440000,-15168000,30338000,667390000,50558000,20226000,5056000,111236000,40444000,60670000,60674000,1213490000,839270000,1289320000,1041548000,1173030000,399400000,773580000,35390000,1026336000,-10112000,-10112000,-10112000,-10112000,657300000
11,30340000,5056000,-5056000,30334000,20228000,85956000,80900000,-10112000,5056000,10112000,5056000,25278000,-10112000,-15168000,-20224000,-10112000,-15168000,-10112000,35392000,-15168000,0,10112000,25284000,0,-15172000,-5056000,-5056000,10112000,5056000,15168000,20224000,30336000,65724000,60674000,136510000,10112000,70786000,15168000,465156000,672450000,606720000,10112000,40444000,10112000,0,10112000,-5056000,505580000
12,616830000,35388000,40450000,839290000,131450000,667394000,601660000,808958000,803910000,702790000,10116000,20230000,-15168000,5056000,50560000,15168000,0,5056000,1370204000,101118000,-5056000,0,5056000,15160000,-10110000,10112000,0,15168000,10110000,70788000,45500000,91006000,156736000,156736000,1142660000,717950000,783680000,500546000,621890000,348860000,419640000,551102000,1016270000,374148000,414588000,434816000,10112000,455070000
