,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,136510000,85952000,101120000,111230000,75840000,85952000,101120000,91008000,70784000,70784000,85952000,101120000,106180000,101120000,85952000,91008000,85952000,80896000,75840000,80896000,85952000,91008000,91008000,80896000,101120000,80896000,91008000,85952000,75840000,96064000,85952000,85952000,91008000,85952000,80896000,91008000,111230000,101120000,131460000,455040000,399420000,80896000,106180000,80896000,96064000,80896000,70784000,798850000
2,argB,96064000,80896000,70784000,166850000,91008000,85952000,96064000,70784000,85952000,80896000,85952000,146620000,80896000,80896000,75840000,75840000,85952000,75840000,70784000,85952000,70784000,75840000,121340000,116290000,91008000,85952000,106180000,85952000,85952000,101120000,91008000,91008000,96064000,101120000,131460000,126400000,91008000,75840000,156740000,525820000,399420000,75840000,126400000,80896000,75840000,80896000,70784000,723010000
3,argC,106180000,60672000,70784000,116290000,101120000,75840000,85952000,91008000,80896000,55616000,80896000,101120000,106180000,75840000,70784000,75840000,70784000,65728000,65728000,75840000,70784000,75840000,106180000,80896000,101120000,75840000,121340000,101120000,91008000,96064000,91008000,101120000,111230000,111230000,96064000,96064000,106180000,75840000,146620000,515710000,379200000,75840000,111230000,75840000,80896000,85952000,65728000,723010000
4,argE,101120000,96064000,136510000,75840000,91008000,80896000,91008000,91008000,106180000,101120000,126400000,141570000,91008000,91008000,75840000,75840000,70784000,65728000,70784000,70784000,70784000,91008000,91008000,106180000,85952000,85952000,91008000,85952000,85952000,91008000,96064000,91008000,96064000,96064000,106180000,121340000,96064000,75840000,131460000,439870000,353920000,80896000,101120000,70784000,80896000,91008000,70784000,743230000
5,argH,106180000,70784000,106180000,106180000,101120000,80896000,80896000,91008000,101120000,101120000,85952000,116290000,106180000,85952000,80896000,65728000,75840000,65728000,55616000,70784000,70784000,85952000,91008000,85952000,106180000,70784000,96064000,91008000,96064000,91008000,85952000,91008000,91008000,96064000,91008000,101120000,111230000,75840000,151680000,414590000,262910000,101120000,85952000,80896000,80896000,80896000,70784000,697730000
6,proC,91008000,75840000,70784000,85952000,80896000,70784000,101120000,80896000,75840000,75840000,70784000,146620000,85952000,85952000,65728000,65728000,65728000,65728000,70784000,75840000,75840000,60672000,65728000,106180000,85952000,85952000,80896000,85952000,85952000,75840000,91008000,96064000,91008000,96064000,96064000,111230000,91008000,75840000,85952000,171900000,101120000,65728000,96064000,75840000,85952000,80896000,65728000,753340000
7,icd,106180000,85952000,96064000,116290000,106180000,101120000,70784000,96064000,80896000,91008000,111230000,369090000,106180000,91008000,70784000,75840000,70784000,70784000,75840000,111230000,101120000,75840000,101120000,106180000,121340000,70784000,80896000,85952000,101120000,106180000,85952000,96064000,106180000,101120000,136510000,182020000,146620000,91008000,227520000,530880000,485380000,96064000,111230000,116290000,121340000,116290000,65728000,1031400000
8,nadC,85952000,91008000,75840000,80896000,85952000,80896000,85952000,75840000,75840000,80896000,80896000,141570000,96064000,96064000,85952000,65728000,65728000,70784000,80896000,91008000,85952000,85952000,96064000,111230000,91008000,91008000,96064000,91008000,80896000,101120000,91008000,91008000,96064000,85952000,126400000,146620000,101120000,96064000,106180000,192130000,156740000,85952000,121340000,85952000,96064000,91008000,70784000,834240000
9,panB,101120000,80896000,85952000,116290000,91008000,91008000,75840000,80896000,91008000,65728000,85952000,156740000,106180000,207300000,70784000,106180000,70784000,80896000,70784000,85952000,65728000,91008000,91008000,85952000,111230000,96064000,161790000,101120000,85952000,80896000,96064000,96064000,91008000,85952000,151680000,237630000,141570000,101120000,151680000,1006100000,470210000,80896000,85952000,70784000,80896000,80896000,70784000,803900000
