,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,317,2331,354,7033,812,336,616,572,298,264,369,1906,431,5705,1397,1331,1045,382,1511,1105,1173,1035,290,1079,435,527,446,499,415,269,303,361,1174,653,2489,2294,1373,2108,734,1200,1526,715,6551,1049,545,284,31,2004
2,argB,1151,272,278,86,289,424,6720,634,592,401,411,1543,113,5130,3250,465,373,380,374,1210,2816,621,491,626,941,993,633,833,1044,3707,405,285,497,667,1805,2500,3376,2517,1446,2221,1707,476,6089,1094,449,619,362,8442
3,argC,912,292,318,65,281,409,3178,489,545,950,381,1916,162,6010,3073,982,665,362,318,1696,3321,1482,348,791,1147,824,480,694,1142,5827,538,359,769,780,2321,3466,3351,2563,1587,2364,1863,551,7946,1471,553,439,203,9029
4,argE,2439,8992,9161,595,307,4505,3765,3551,6762,7157,656,6314,99,4844,809,569,215,311,360,274,1034,422,123,451,811,694,407,750,664,528,545,665,1135,928,1721,2596,2366,2997,959,2478,1449,653,6012,1436,633,1580,327,7506
5,argH,1427,4674,3857,5643,293,444,4123,4137,7421,6982,726,6819,137,6269,830,541,277,240,275,1029,5168,465,227,426,814,655,383,613,710,297,452,287,664,319,2037,5227,4134,2308,2198,713,1497,480,9047,862,493,469,421,8372
6,proC,8854,652,737,4636,1723,345,6982,7371,7788,8555,1336,7332,3684,6858,1575,722,479,829,1067,612,2761,253,143,1260,590,855,396,1287,444,254,315,399,664,1341,2910,2457,3861,989,2262,2122,2053,2876,7945,1311,801,801,150,7037
7,icd,840,319,281,3627,1192,683,600,1861,6728,8664,2059,2983,65,3253,458,454,212,305,268,330,3021,664,161,609,524,568,317,529,291,494,220,241,208,347,621,1422,827,809,320,1253,875,4110,627,858,1670,898,69,5992
8,nadC,967,452,339,6035,2779,1175,6810,1416,566,436,364,7643,544,7117,1960,1067,687,271,1152,694,1101,306,127,661,483,639,404,695,338,243,259,253,277,239,821,1448,1264,2016,902,828,632,4268,6361,976,823,511,115,8676
9,panB,291,184,311,1514,1651,180,228,404,186,302,467,2774,232,690,228,1090,862,496,1972,86,772,317,209,657,565,539,79,768,548,250,581,390,317,350,1376,323,177,167,190,327,665,762,3090,799,503,257,200,8843
10,panD,856,260,201,5276,1711,141,559,513,299,251,564,3729,56,786,330,788,785,315,1212,64,737,178,188,629,634,700,100,703,614,267,530,331,840,421,1222,296,371,222,160,432,945,682,3262,820,454,185,147,9230
11,serC,1569,219,285,142,219,819,3401,460,473,746,320,1027,145,1399,457,907,403,285,1788,1063,783,326,139,602,685,505,385,648,452,324,1007,535,537,483,4774,1580,7773,740,7533,7134,6801,543,2740,316,397,235,197,9292
12,cysC,5499,912,485,2446,1815,1107,5683,1086,2433,1067,648,941,113,836,665,1250,289,451,3220,1127,504,181,126,520,385,506,415,658,603,329,770,432,265,314,3231,1489,885,741,745,2357,1391,2504,4690,1419,1368,1001,137,8353
13,cysE,222,217,178,100,153,2967,493,468,229,220,406,971,93,1241,237,695,281,282,671,1006,520,180,144,576,666,516,402,611,492,347,564,318,874,918,1470,1204,1339,410,1615,2587,1738,451,5693,413,442,288,88,9131
14,cysH,3798,2800,2713,3406,1964,768,7163,1461,5354,5266,806,910,158,1178,1054,759,246,413,2645,637,519,172,90,468,410,499,454,683,486,326,722,345,210,204,3696,1529,794,640,654,2297,1712,1763,5174,1203,1338,916,145,7965
15,glnA,212,1305,2386,6620,763,306,813,1037,4312,5461,370,1606,95,3233,425,444,248,216,421,1093,6317,372,152,642,629,704,408,620,440,356,308,317,400,532,1876,3532,1960,763,4969,2714,1356,952,6618,915,391,304,26,8504
16,serA,305,198,269,155,397,1104,3959,511,429,556,425,1135,277,1542,758,919,516,431,2948,1219,914,200,190,703,483,627,462,1019,466,353,999,405,316,400,5677,1748,2070,634,6614,7959,7694,764,6261,368,452,306,92,9665
17,hisB,321,238,252,219,1519,353,625,540,3112,2666,452,1256,208,1874,293,580,504,336,426,1097,7642,253,149,776,477,567,414,638,479,338,379,470,342,354,2097,3821,2302,959,5741,7344,5388,795,8291,555,639,371,33,9629
18,hisC,346,256,329,287,1172,7813,1271,627,7244,6181,509,1212,196,2048,259,377,341,330,298,736,5126,266,108,522,619,608,421,644,502,345,400,412,537,558,5019,3880,8472,1548,6588,6437,5040,975,8275,554,445,360,51,9364
19,hisD,1237,348,355,639,1122,5648,2704,5408,7694,7377,2336,6251,4241,6272,996,3593,624,565,208,3052,2437,420,149,717,509,609,499,659,394,304,465,359,287,452,4278,4222,7836,1364,4359,5006,4482,4514,7773,871,517,315,23,3960
20,hisI,1880,2197,1945,7977,728,5741,7874,7622,8160,7182,906,1981,102,7248,1067,592,281,354,435,902,8324,252,139,386,413,496,411,584,368,336,501,382,1666,1303,6348,3598,7666,859,3571,6448,7290,1298,8950,963,468,247,27,8928
21,metA,313,4626,4928,4753,3010,4619,7058,846,355,362,805,737,98,991,2840,1107,1403,2059,5544,644,487,314,170,574,504,486,421,578,489,322,364,348,359,346,4365,4779,4365,3691,3897,2398,3618,672,7903,2491,2244,1836,106,9426
22,guaA,363,899,371,979,953,540,1643,540,602,641,444,1323,188,1420,228,583,328,350,866,972,860,195,83,446,628,486,447,659,420,294,374,375,382,480,6401,2568,7924,1404,4531,5937,6258,768,8130,649,570,588,18,9109
23,guaB,582,8149,7516,7395,3755,368,2118,807,696,811,665,1162,189,1258,309,885,385,247,632,803,1147,214,114,616,517,605,435,776,810,356,352,414,310,351,648,4921,2772,1250,3046,6199,5792,735,8159,1012,675,562,15,8050
24,purA,420,178,243,113,540,1529,1623,496,596,645,383,775,170,1025,350,708,296,264,405,1043,687,163,146,658,581,616,471,946,761,363,452,319,286,316,2266,1793,2168,709,6201,7409,5979,597,1528,421,348,284,32,9013
