,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,211,6789,559,1036,440,8715,339,301,210,175,361,5025,304,3580,884,551,346,406,1289,3872,473,726,790,628,276,407,552,477,525,586,449,398,3851,1294,4753,5079,7398,5526,6396,6611,5795,1556,1000,4593,2124,4465,303,90
2,argB,992,258,198,9279,6140,409,284,252,244,204,299,282,222,2759,5515,364,415,701,549,2439,5800,1839,8174,522,747,560,425,288,319,4678,5818,5597,7430,7645,5909,4998,4919,1350,7341,5925,6191,863,1235,498,384,1217,596,242
3,argC,329,210,181,8357,5996,366,229,193,210,361,274,390,608,2647,4798,770,773,1015,467,3377,6256,1620,8370,884,1126,601,559,406,487,2840,6155,7269,7115,7805,4816,5580,5104,1733,7657,6199,5172,1028,1442,571,520,990,500,332
4,argE,6728,203,108,74,6067,4346,4309,5076,2045,2046,205,2684,206,2930,7736,508,253,352,974,7459,1910,1152,6999,222,1011,995,332,1031,881,7647,7910,7876,7459,7790,6216,6869,6245,3529,8078,6372,7419,1312,2574,1766,1177,6493,467,416
5,argH,658,291,267,210,183,1497,826,2677,1614,2249,373,1718,327,1752,508,400,872,604,471,649,3638,1458,8046,518,1340,1357,481,1077,887,5176,2433,1596,7739,7063,6962,3779,4245,1681,7178,7238,6833,1086,499,845,1010,2056,644,53
6,proC,186,138,138,4249,422,130,484,1068,684,92,154,685,4266,658,267,199,164,6144,6447,6500,799,227,223,988,497,1933,204,2686,164,7507,360,1175,2196,3460,6192,5000,1911,164,6174,5566,5628,4970,128,1903,1158,7718,450,46
7,icd,238,3336,1940,3829,1946,8000,683,5669,606,555,1881,6286,210,5643,989,1510,263,831,727,8776,6087,2673,4331,2210,1580,1873,1582,1889,1465,8469,929,388,3743,2539,7624,6589,6908,6870,7776,5854,6263,4049,7543,7613,5987,7134,617,2629
8,nadC,1367,417,379,2471,2551,8050,2341,651,384,323,514,1122,953,1099,1938,1205,1057,1057,3010,7144,885,818,1271,976,1544,815,782,1203,701,6331,1638,2657,927,983,7075,7071,7187,6160,8325,7810,8228,5046,2706,7890,8165,8821,1393,605
9,panB,123,334,321,6940,7369,7168,5068,2239,304,199,493,4635,205,5871,6914,912,5872,6416,4650,7910,1552,822,1118,2277,862,1896,7596,4441,1774,622,3332,1096,753,844,6432,6918,8711,7600,9144,7513,6708,2123,4074,926,469,353,268,219
10,panD,1490,486,225,521,6057,8554,8463,2411,439,233,574,5051,252,6576,7973,801,6614,7247,5434,6839,1628,887,1011,2778,2313,2421,6692,3017,2530,697,3987,927,1252,858,7817,6740,8966,9260,8851,8146,7626,1534,3757,972,551,447,667,153
11,serC,831,265,209,207,237,297,208,209,328,454,242,527,571,688,475,527,409,510,964,421,911,557,771,525,1728,489,383,451,557,497,586,568,582,570,1357,495,522,391,223,124,184,530,358,408,496,534,771,47
12,cysC,3569,1167,1021,6222,5629,7666,2226,6520,6926,8601,1625,734,954,921,2245,1367,1248,2015,5374,6680,1177,1826,1995,1297,983,979,1181,1529,2180,3497,3489,5387,7514,7377,5287,7330,7329,8415,8594,6229,6017,5729,2688,7393,7640,7454,1721,995
13,cysE,97,179,126,121,124,4412,218,137,116,117,200,144,225,299,309,297,372,463,504,293,279,377,431,350,1153,373,408,691,722,400,536,417,774,745,1074,362,374,242,526,1449,5283,750,517,270,332,350,212,50
14,cysH,4702,6113,5509,5394,6989,8274,2178,6287,3199,2952,1377,709,1276,1194,2624,1429,1410,1817,4443,6996,1158,1649,1492,1325,1158,1269,1330,1758,1615,4759,4702,8113,7683,8228,4427,5698,7594,8135,8721,4979,6153,7263,3162,8002,6910,7088,2064,1273
15,glnA,97,881,1433,344,244,518,161,408,463,578,318,647,142,937,368,411,246,260,301,1445,2430,563,883,556,1267,424,575,733,863,440,456,416,761,801,5609,4672,1304,541,2228,5032,6323,1890,400,1135,1228,1434,441,189
16,serA,98,166,97,103,211,367,196,148,272,272,243,429,615,685,406,728,520,585,5229,438,1067,658,1373,519,483,449,484,653,601,622,811,700,585,701,1180,482,594,610,748,428,354,607,764,781,589,647,686,63
17,hisB,160,161,151,172,222,346,163,144,313,374,226,209,272,1243,339,299,354,388,883,447,1255,469,627,345,454,367,457,359,381,687,518,524,1619,788,979,770,755,587,822,1347,1456,505,435,333,399,317,258,35
18,hisC,164,141,163,149,190,399,173,146,303,958,217,252,278,1171,300,256,241,330,1010,392,2244,427,375,267,490,350,617,407,437,745,505,559,2277,1636,1783,1211,321,789,1094,2667,2652,713,532,296,282,296,354,26
19,hisD,1351,250,314,284,188,1686,464,1391,812,740,1486,2354,2836,2276,716,3317,296,343,217,290,5201,1328,552,638,1016,1237,718,1190,656,1226,813,1316,3037,3266,3186,2503,882,526,4041,2905,3056,3921,255,350,344,402,200,16
20,hisI,925,838,732,416,606,913,327,687,68,121,556,568,601,963,816,858,625,925,6590,858,513,832,937,751,900,910,1023,1045,1305,1417,1114,963,2166,1916,837,1560,265,803,1002,638,431,1005,204,861,857,965,1075,106
21,metA,109,2553,2601,3152,4501,3966,2263,307,166,125,234,148,263,446,5854,375,7560,6476,2145,8213,372,1078,1199,424,543,811,896,1004,984,562,1119,3116,1925,2609,4381,4411,4622,5254,4877,6148,4956,628,1007,2503,4319,4708,272,116
22,guaA,94,331,147,479,255,104,83,133,122,166,142,142,138,216,138,136,149,201,440,155,294,146,121,113,291,155,174,180,178,159,192,175,177,192,525,444,438,483,3130,2334,1992,490,145,310,398,636,150,11
23,guaB,80,839,627,92,140,76,44,58,57,63,90,68,70,146,59,79,75,69,75,66,154,90,79,95,104,101,146,147,263,163,90,111,156,144,110,398,427,77,322,1033,1039,155,8,216,233,303,67,2
24,purA,267,293,285,304,404,1334,289,350,350,298,384,310,395,576,438,501,538,578,687,554,664,591,596,721,575,545,594,822,532,835,783,625,624,594,1245,694,503,457,553,371,1174,464,531,597,503,541,559,184
25,purC,145,361,283,349,382,465,260,144,188,248,271,349,324,833,338,363,409,429,689,368,633,384,631,382,462,430,458,417,388,368,567,568,642,646,2376,546,541,493,3570,4763,3853,668,200,584,637,652,316,22
26,purD,138,291,250,246,346,716,219,167,221,195,245,306,208,488,243,237,259,455,505,426,774,409,499,564,332,357,412,347,460,353,510,426,654,513,2568,724,400,622,2437,3460,4071,596,91,442,487,448,377,51
27,purF,146,345,230,232,250,371,218,119,80,127,206,208,336,476,331,354,410,432,389,381,708,498,559,561,386,370,335,328,374,384,507,361,583,541,735,411,436,330,3413,2893,3429,546,74,432,473,444,321,32
28,purL,146,410,216,403,325,694,235,180,202,179,212,206,253,387,267,326,253,411,582,311,533,385,471,333,273,324,303,418,475,371,438,363,558,470,3277,696,382,432,2695,2918,3308,597,165,508,573,623,346,73
29,purM,148,465,385,568,546,375,168,166,214,223,249,263,249,386,337,326,399,435,549,354,632,469,516,423,258,235,309,434,374,360,334,323,478,481,3143,712,504,456,4885,5392,4614,741,199,649,737,962,290,103
30,pyrB,129,513,8771,909,226,190,54,395,134,121,149,174,191,295,175,186,216,287,477,235,253,246,234,177,177,133,163,184,159,185,181,144,135,8302,3731,297,94,183,6369,1548,1702,256,17,169,181,204,128,16
31,pyrC,157,355,475,1008,304,350,283,297,263,281,288,377,370,488,314,489,440,452,506,489,499,570,488,421,449,356,369,373,505,423,393,402,1180,1208,825,676,868,344,765,3356,1880,360,39,300,402,389,348,31
32,pyrD,162,266,192,846,257,337,201,177,204,180,256,286,399,577,273,418,360,477,501,435,415,482,553,417,358,303,358,462,306,425,379,370,888,801,722,447,656,329,270,2283,1610,284,20,281,243,297,213,32
33,pyrE,406,281,808,1163,268,780,363,157,290,486,492,418,1229,467,392,642,475,594,491,1698,409,328,438,413,1707,755,333,3207,1770,462,541,556,338,305,1181,155,2355,211,242,2087,1981,201,38,205,230,527,155,21
34,pyrF,377,417,730,1719,242,985,392,219,283,579,405,360,1340,345,305,557,439,697,528,2110,424,295,282,422,1675,710,297,2429,1211,362,444,432,462,493,3233,628,2181,317,1156,3129,2965,278,49,199,199,536,314,23
35,lysA,3269,2642,3166,1953,733,3510,656,1779,1137,937,2116,3381,6194,2800,2396,7303,2095,3275,3694,6508,4587,7441,950,3704,4076,5105,671,4281,3410,7615,1190,5369,6135,6575,478,5400,2610,5608,8161,5482,4339,4739,1536,6400,5726,3445,117,27
36,tyrA,2473,3650,2974,1934,4362,1583,1276,962,479,385,618,1576,1066,1106,2439,961,2025,2770,5014,2394,4701,1840,4081,1577,1842,2660,1980,2368,2370,8508,5135,7152,3796,4622,3693,879,443,1692,3368,3861,5204,5587,837,8078,7203,7681,758,255
37,trpA,1829,3779,4461,3252,3892,3105,398,850,163,205,4513,1209,3963,555,3953,7533,8211,5744,7879,7999,5288,7623,6336,7766,6988,7304,8072,7728,7934,7556,6945,7581,6009,6008,2953,7216,286,225,263,520,510,4630,396,6187,5486,6347,544,87
38,trpB,2136,1643,2023,2882,1167,922,527,1174,138,155,487,673,363,572,704,450,755,861,801,653,2835,1257,942,840,1589,1894,1341,2090,1639,731,1270,1345,1970,2253,1835,5834,162,206,334,307,355,2676,244,3143,2139,3812,228,74
39,trpC,692,1444,1663,938,2007,5544,393,736,198,145,7406,764,2465,461,4257,6953,5008,4950,3818,4443,3956,4259,3226,6053,5254,6621,5939,5592,4043,5959,7729,8481,7534,7689,582,5369,636,577,467,473,86,2132,546,5932,5796,6988,675,89
40,trpD,946,2003,652,1794,925,1048,955,747,327,415,7060,1899,1444,985,2294,6660,6789,7026,4514,4793,2389,5275,4586,8590,2121,3815,5352,4333,3194,5070,5460,6153,4920,2931,1813,5226,536,326,332,536,686,2985,589,1458,2053,2313,501,183
41,trpE,811,2831,2383,946,917,1610,906,392,356,764,6109,848,1861,686,1049,7667,7364,5901,4598,7538,4391,5738,6348,4223,5484,3267,3380,3990,2733,4748,5730,3682,4382,2799,1720,4297,436,352,8966,5203,726,3375,464,4215,4825,4095,498,95
42,ilvC,586,3218,1366,359,686,2724,3190,3878,1015,493,386,1515,592,2215,1040,404,443,919,4929,1331,541,530,592,480,1046,662,608,575,617,495,591,466,1702,1517,4060,3880,4539,3325,4794,1535,4412,426,6089,767,348,330,398,53
43,ilvE,5313,6762,6670,5717,6889,8921,301,4725,2303,2007,3474,3469,6957,3972,8554,4616,5933,7018,9055,9113,7035,8622,8813,5159,8515,8752,8665,8454,8216,8852,9360,9318,9056,9117,6571,7679,8207,8373,7775,6473,6917,1098,402,6663,7896,8588,641,60
44,leuB,783,276,285,819,311,636,1108,489,372,283,299,1110,300,1349,327,369,368,455,458,354,415,470,598,282,1028,367,331,414,419,489,594,492,622,592,1934,1050,1213,363,3141,6628,4617,543,534,296,225,279,351,213
45,leuD,362,299,558,456,370,337,1522,485,247,248,206,757,214,815,411,389,292,422,329,305,674,492,540,212,432,320,366,330,360,414,504,408,653,693,1813,827,609,539,4523,5867,4387,513,707,276,274,292,239,326
46,leuC,632,167,126,735,236,710,634,327,271,221,237,583,208,771,391,234,263,341,343,178,356,470,436,196,329,273,305,287,321,393,553,385,822,810,2120,1031,224,541,2728,5367,4061,382,307,182,170,190,161,232
47,Negative,77,34,30,51,3,27,8,25,30,20,7,132,7,63,8,20,16,15,14,27,63,9,5,30,62,17,52,21,45,27,43,14,34,19,15,165,32,8,7,12,41,6,14,4,14,5,2,0
48,Positive,7300,7445,7204,6693,7697,9350,6007,7277,8867,7576,9586,7159,9319,7387,8863,8759,8849,9400,9428,9510,8481,8385,9373,9226,9405,9551,9418,7977,8457,8812,7937,8872,8721,7523,7901,7818,8267,8561,7078,7039,8522,7901,7823,8118,8104,8360,8981,3852
